probe_id	gene_symbol	gene_id	gene_title	mapping_status
201338_x_at	GTF3A	2971	general transcription factor IIIA	single_symbol
201339_s_at	SCP2	6342	sterol carrier protein 2	single_symbol
201340_s_at	ENC1	8507	ectodermal-neural cortex 1	single_symbol
201341_at	ENC1	8507	ectodermal-neural cortex 1	single_symbol
201342_at	SNRPC	6631	small nuclear ribonucleoprotein polypeptide C	single_symbol
201343_at	UBE2D2	7322	ubiquitin conjugating enzyme E2 D2	single_symbol
201344_at	UBE2D2	7322	ubiquitin conjugating enzyme E2 D2	single_symbol
201345_s_at	UBE2D2	7322	ubiquitin conjugating enzyme E2 D2	single_symbol
201346_at	ADIPOR2	79602	adiponectin receptor 2	single_symbol
201347_x_at	GRHPR	9380	glyoxylate and hydroxypyruvate reductase	single_symbol
201348_at	GPX3	2878	glutathione peroxidase 3	single_symbol
201349_at	SLC9A3R1	9368	SLC9A3 regulator 1	single_symbol
201350_at	FLOT2	2319	flotillin 2	single_symbol
201351_s_at	YME1L1	10730	YME1 like 1 ATPase	single_symbol
201352_at	YME1L1	10730	YME1 like 1 ATPase	single_symbol
201353_s_at	BAZ2A	11176	bromodomain adjacent to zinc finger domain 2A	single_symbol
201354_s_at	BAZ2A	11176	bromodomain adjacent to zinc finger domain 2A	single_symbol
201355_s_at	BAZ2A	11176	bromodomain adjacent to zinc finger domain 2A	single_symbol
201356_at	SF3A1	10291	splicing factor 3a subunit 1	single_symbol
201357_s_at	SF3A1	10291	splicing factor 3a subunit 1	single_symbol
201358_s_at	COPB1	1315	coatomer protein complex subunit beta 1	single_symbol
201359_at	COPB1	1315	coatomer protein complex subunit beta 1	single_symbol
201360_at	CST3	1471	cystatin C	single_symbol
201361_at	TMEM109	79073	transmembrane protein 109	single_symbol
201362_at	IVNS1ABP	10625	influenza virus NS1A binding protein	single_symbol
201363_s_at	IVNS1ABP	10625	influenza virus NS1A binding protein	single_symbol
201364_s_at	OAZ2	4947	ornithine decarboxylase antizyme 2	single_symbol
201365_at	OAZ2	4947	ornithine decarboxylase antizyme 2	single_symbol
201366_at	ANXA7	310	annexin A7	single_symbol
201367_s_at	ZFP36L2	678	ZFP36 ring finger protein like 2	single_symbol
201368_at	ZFP36L2	678	ZFP36 ring finger protein like 2	single_symbol
201369_s_at	ZFP36L2	678	ZFP36 ring finger protein like 2	single_symbol
201370_s_at	CUL3	8452	cullin 3	single_symbol
201371_s_at	CUL3	8452	cullin 3	single_symbol
201372_s_at	CUL3	8452	cullin 3	single_symbol
201373_at	PLEC	5339	plectin	single_symbol
